idx,char_pos,cmdVx,cmdVy,cmdVw,ts
166,39161,0.0,0.0,0.0,2026-05-06 15:22:02.411
167,39390,0.0,0.0,0.0,2026-05-06 15:22:02.411
168,39630,0.0,0.0,0.0,2026-05-06 15:22:02.411
169,39857,0.0,0.0,0.0,2026-05-06 15:22:02.411
170,40099,0.0,0.0,0.0,2026-05-06 15:22:02.411
171,40327,0.0,0.0,0.0,2026-05-06 15:22:02.411
172,40567,0.0,0.0,0.0,2026-05-06 15:22:02.411
173,40795,0.0,0.0,0.0,2026-05-06 15:22:02.411
174,41035,0.0005,0.0,0.0,2026-05-06 15:22:02.411
175,41257,0.001,0.0,0.0,2026-05-06 15:22:02.411
176,41318,0.0054,0.0,0.0,2026-05-06 15:22:02.411
177,41542,0.0054,0.0,0.0,2026-05-06 15:22:02.411
178,41782,0.0124,0.0,0.0,2026-05-06 15:22:02.411
179,42005,0.0124,0.0,0.0,2026-05-06 15:22:02.411
180,42245,0.0208,0.0,0.0,2026-05-06 15:22:02.411
181,42467,0.0222,0.0,0.0,2026-05-06 15:22:02.411
182,42706,0.0322,0.0,0.0,2026-05-06 15:22:02.411
183,42929,0.0322,0.0,0.0,2026-05-06 15:22:02.411
184,43169,0.0501,0.0,0.0,2026-05-06 15:22:02.411
185,43395,0.0501,0.0,0.0,2026-05-06 15:22:02.411
186,43635,0.0711,0.0,0.0,2026-05-06 15:22:02.411
187,43858,0.0746,0.0,0.0,2026-05-06 15:22:02.411
188,44098,0.0981,0.0,0.0,2026-05-06 15:22:02.411
189,44321,0.1025,0.0,0.0,2026-05-06 15:22:02.411
190,44561,0.1362,0.0,0.0,2026-05-06 15:22:02.411
191,44784,0.1362,0.0,0.0,2026-05-06 15:22:02.411
192,45024,0.1793,0.0,0.0,2026-05-06 15:22:02.411
193,45247,0.1793,0.0,0.0,2026-05-06 15:22:02.411
194,45487,0.217,0.0,0.0,2026-05-06 15:22:02.411
195,45710,0.2222,0.0,0.0,2026-05-06 15:22:02.411
196,45950,0.2509,0.0,0.0,2026-05-06 15:22:02.411
197,46173,0.2509,0.0,0.0,2026-05-06 15:22:03.119
198,46413,0.2824,0.0,0.0,2026-05-06 15:22:03.119
199,46636,0.2824,0.0,0.0,2026-05-06 15:22:03.119
200,46876,0.3033,0.0,0.0,2026-05-06 15:22:03.119
201,47099,0.3058,0.0,0.0,2026-05-06 15:22:03.119
202,47339,0.319,0.0,0.0,2026-05-06 15:22:03.119
203,47562,0.3208,0.0,0.0,2026-05-06 15:22:03.119
204,47802,0.3319,0.0,0.0,2026-05-06 15:22:03.119
205,48025,0.3319,0.0,0.0,2026-05-06 15:22:03.119
206,48265,0.3409,0.0,0.0,2026-05-06 15:22:03.119
207,48488,0.3409,0.0,0.0,2026-05-06 15:22:03.119
208,48728,0.3464,0.0,0.0,2026-05-06 15:22:03.119
209,48951,0.3471,0.0,0.0,2026-05-06 15:22:03.119
210,49191,0.35,0.0,0.0,2026-05-06 15:22:03.119
211,49414,0.35,0.0,0.0,2026-05-06 15:22:03.119
212,49654,0.35,0.0,0.0,2026-05-06 15:22:03.119
213,49877,0.35,0.0,0.0,2026-05-06 15:22:03.119
